year;month;end_of_week;avg_goals_per_match_home;home_avg_growth %;avg_goals_per_match_away;away_avg_growth %
2013;02;2013-02-10;1.56;-0.1034;1.07;-0.1575
2013;02;2013-02-03;1.74;0.1447;1.27;0.0325
2013;01;2013-01-27;1.52;-0.0559;1.23;-0.0538
2013;01;2013-01-20;1.61;0.0255;1.3;0.3542
2013;01;2013-01-13;1.57;0.0129;0.96;-0.0588
2013;01;2013-01-06;1.55;-0.0373;1.02;-0.3061
2012;12;2012-12-30;1.61;0;1.47;0.0352
2012;12;2012-12-23;1.61;0.019;1.42;0.1452
2012;12;2012-12-16;1.58;-0.1023;1.24;-0.0388
2012;12;2012-12-09;1.76;0.2138;1.29;0.0661
2012;12;2012-12-02;1.45;0.0584;1.21;0.21
2012;11;2012-11-25;1.37;-0.2171;1;-0.1379
2012;11;2012-11-18;1.75;0.129;1.16;-0.2611
2012;11;2012-11-11;1.55;-0.0432;1.57;0.3193
2012;11;2012-11-04;1.62;0.218;1.19;-0.2273
2012;10;2012-10-28;1.33;-0.125;1.54;0.1241
2012;10;2012-10-21;1.52;0;1.37;-0.0867
2012;10;2012-10-14;0;-1;1.5;0.2605
2012;10;2012-10-07;1.7;-0.0503;1.19;-0.1314
2012;09;2012-09-30;1.79;0.2431;1.37;0.2569
2012;09;2012-09-23;1.44;-0.1111;1.09;-0.155
2012;09;2012-09-16;1.62;-0.46;1.29;0.29
2012;09;2012-09-09;3;1.069;1;-0.1071
2012;09;2012-09-02;1.45;0.0584;1.12;-0.0968
2012;08;2012-08-26;1.37;-0.1697;1.24;0.0248
2012;08;2012-08-19;1.65;0.3525;1.21;-0.0833
2012;08;2012-08-12;1.22;-0.1095;1.32;0.7838
2012;08;2012-08-05;1.37;-0.4606;0.74;-0.5432
2012;07;2012-07-29;2.54;3.2333;1.62;0.35
2012;07;2012-07-22;0.6;0.5;1.2;0.2
2012;07;2012-07-15;0.4;-0.7333;1;-0.6
2012;05;2012-05-27;1.5;-0.162;2.5;0.8382
2012;05;2012-05-20;1.79;0.0719;1.36;0.088
2012;05;2012-05-13;1.67;0.0844;1.25;0.0163
2012;05;2012-05-06;1.54;-0.0667;1.23;-0.1022
2012;04;2012-04-29;1.65;0.2044;1.37;0.2124
2012;04;2012-04-22;1.37;-0.1796;1.13;-0.0424
2012;04;2012-04-15;1.67;0.0844;1.18;0.0261
2012;04;2012-04-08;1.54;-0.1098;1.15;-0.1154
2012;04;2012-04-01;1.73;0.1689;1.3;0.1927
2012;03;2012-03-25;1.48;0.0725;1.09;-0.1417
2012;03;2012-03-18;1.38;-0.1786;1.27;0.2212
2012;03;2012-03-11;1.68;0.1748;1.04;-0.0189
2012;03;2012-03-04;1.43;-0.1118;1.06;0.06
2012;02;2012-02-26;1.61;0.019;1;-0.1304
2012;02;2012-02-19;1.58;-0.0125;1.15;-0.0574
2012;02;2012-02-12;1.6;0.0811;1.22;0.0252
2012;02;2012-02-05;1.48;-0.1543;1.19;0.1019
2012;01;2012-01-29;1.75;0.1218;1.08;-0.1
2012;01;2012-01-22;1.56;-0.093;1.2;0.2632
2012;01;2012-01-15;1.72;0.2028;0.95;-0.1667
2012;01;2012-01-08;1.43;0.126;1.14;0.2128
2012;01;2012-01-01;1.27;-0.2013;0.94;-0.3691
2011;12;2011-12-25;1.59;0.0671;1.49;0.307
2011;12;2011-12-18;1.49;0.0956;1.14;0.1176
2011;12;2011-12-11;1.36;-0.236;1.02;-0.0893
2011;12;2011-12-04;1.78;0.0988;1.12;0.0769
2011;11;2011-11-27;1.62;0.0728;1.04;-0.0095
2011;11;2011-11-20;1.51;0;1.05;0
2011;11;2011-11-13;0;-1;0;-1
2011;11;2011-11-06;1.74;0.0116;1.18;0.0536
2011;10;2011-10-30;1.72;0.3543;1.12;0.0874
2011;10;2011-10-23;1.27;-0.2395;1.03;0.0404
2011;10;2011-10-16;1.67;0.67;0.99;0
2011;10;2011-10-09;1;-0.4186;0;-1
2011;10;2011-10-02;1.72;0.0488;1.09;0.1122
2011;09;2011-09-25;1.64;-0.1323;0.98;-0.0392
2011;09;2011-09-18;1.89;0.26;1.02;-0.2555
2011;09;2011-09-11;1.5;0.0714;1.37;-0.315
2011;09;2011-09-04;1.4;-0.1083;2;0.4599
2011;08;2011-08-28;1.57;0.0903;1.37;0.0787
2011;08;2011-08-21;1.44;-0.0137;1.27;0.3093
2011;08;2011-08-14;1.46;-0.0932;0.97;-0.2595
2011;08;2011-08-07;1.61;0.5481;1.31;0.213
2011;07;2011-07-31;1.04;-0.3067;1.08;0.2
2011;07;2011-07-24;1.5;1;0.9;-0.4
2011;07;2011-07-17;0.75;-0.5856;1.5;0.3636
2011;05;2011-05-29;1.81;0.1987;1.1;-0.2517
2011;05;2011-05-22;1.51;-0.0503;1.47;0.1667
2011;05;2011-05-15;1.59;0.1357;1.26;-0.0079
2011;05;2011-05-08;1.4;-0.1358;1.27;0.1869
2011;05;2011-05-01;1.62;-0.0743;1.07;-0.1157
